Survey_ID,Primary_Topic_p,Secondary_Topic_p,p_change,Primary_Topic_r,Secondary_Topic_r,r_effect,,,,,,,,,,,
6647,Education,,I now know more,White people are superior ,,I'm white and i hate niggers that think all white people are soft so when i try to tell a nigger they are wrong and put facts to my views they want to start talking shit or claim i'm racist which i am when it comes to niggers but really i just state facts and dont care if you like it or not.,,,,,,,,,,,
222,Cares more,,I didn't care about politics then,An issue besides race,,I don't think race is the problem,,,,,,,,,,,
2406,N/A,,Ok,Na,,Ok,,,,,,,,,,,
4914,Education,,I want to.keep up with laws and knowing my rights. We never study this until we get locked.up,Na,,,,,,,,,,,,,
5812,Less belief in system,,They all think were the scum of the earth,,,Im my own person,,,,,,,,,,,
3434,Need for change in system,,"People being incarserated for one. People with the crimes of rape, child molestation, and murder get less crimes then people with drug charges. There isn't enough rehabilitation out there people such as Judges, DA, and even higher in rank are just quick to throw away the key rather then help. We put all this money into just locking people away instead of trying to invest in making them better. The money waisted on inmates that could have been given a chance to find help rather be thrown away first chance could have been put on our childrens educations, creating environments to take kids off the streets and teach them other things outside drug dealing and street husseling. We waist so much money yet none of it helps our yoitb the next generation become better then we ourselves have became.",Does not affect opinions,,Race doesn't have any kind of influence on my opinions.,,,,,,,,,,,
4775,Importance of political voice,,I wish that I could have a voice.,Experience because of race,,Being of latin descent people discriminate against us.,,,,,,,,,,,
4846,Need for change in system,,I definately have lost all respect for the system in regards to reform an rehabilitation. So much money is set aside for programs an education so people don't have to continue on in this vicious cycle.,Na,,,,,,,,,,,,,
2004,Education,,Well yes i used to think donald trump was a good president. Now after reading the newspaper i think he has misused the office and should be impeached,Experience because of race,,"Well i was born native american and at one point in time we as a people were looked at as heathens and savages. Its hard because no matter what in the history books it reminds all of us about the times when we were treated unfairly. When this country was young it was extremely prejudice. I still follow the news the crazy thing is i know who the president is, but if you ask me if knew my social security number. I couldnt tell you.",,,,,,,,,,,
4536,Need for change in system,,Please refer to my previous answer.,,,"We are all here in a system where inmates are treated as a commodity instead of human beings. We are all having our sentances enhanced based on past crimes that we have previously done time for. This is unconstitutional as it equates a case of double jeapordy. The States don't care because they get paid either way. While some races may feel targeted, we all suffer from the same issues as a whole.",,,,,,,,,,,
6166,Less belief in system,,Yes and no they are making time harder to do,People are all the same,,We are the same people,,,,,,,,,,,
6654,Expanded view,,"Well, before my coming to prison I disliked all law enforcement. As ive grown ive come to look at thing a lot differently. I choose to view things through others eyes and understand where they're coming from.",,,"I have been locked up for over twelve years now, and I am half Mexican. 85% of my people are labeled gang members ( including myself) and we are labeled that way because there may only be five of us on a yard, but we stand together. If four of us are on yard together the police break us up. Yet sixty black gang members meet up on the same spot daily to hold meetings and nothing is said. All my years locked up ive met five or six men who were non-latino and labeled gang members. And because I choose to stand with my people I am labeled a gang member and am not even allowed to check out books from the library or go to school to better myself!",,,,,,,,,,,
2779,Education,,[Yes] I'm learning more about politics,Na,,[Not at all],,,,,,,,,,,
4391,Believes political vote matters more,,"ONE OF THE GREATEST THREATS IN PRISONS ARE THE INDIVIDUALS THAT PREY ON THE WEAKER INDIVIDUALS. THEY DO SO BY EMPLOYING SEVERAL MANIPULATIVE TACTICS. I HAVE OBSERVED THAT THE SAME PERTAINS TO POLITICS AS WELL. THE """"PEOPLE'S VOTE"""" IS A CRUCIAL PART TO THE POLITICAL SYSTEM BECAUSE IT IS OUR VOTE THAT DETERMINES WHO WILL TAKE OFFICIAL POSITIONS AND, LIKE IN PRISON, ONE MUST LEARN TO LOOK PAST ALL THE GRANDEUR AND SPLENDOR IN ORDER TO DISCOVER THE TRUE INTENTIONS OF OTHER PEOPLE AND TEST THE VERACITY OF THOSE WORDS. WITH THAT BEING SAID, OUR GREATEST DOWNFALL IS GREED AND WHEN WE """"DISCOVER"""" THE BENEFITS OF CERTAIN TITLES AND/OR POSITIONS THEN WE SUFFER THE VULNERABILITY OF CORRUPTION. NOW, WHEN YOU COMBINE BOTH GREED AND POLITICS ONE CAN DISCOVER WHAT REALLY DRIVES THESE INDIVIDUALS IN POSITION. THIS IS WHY I FEEL THAT IT IS CRITICAL THAT WE START PAYING ATTENTION TO WHAT IS REALLY BEING SAID BY POTENTIAL CANDIDATES AND LEADERS SO THAT WE CAN MAKE MORE RATIONAL DECISIONS INSTEAD OF BASING MOST OF OUR DECISIONS OF",Depends on one's perspective,,"IT'S ALL A MATTER OF PERSPECTIVE. WHEN ONE IS ACTUALLY WILLING TO STEP BACK AND SEE THE CURRENT ISSUES AT HAND AND WEIGH THEM THEN ONE CAN START TO THINK FOR THEMSELVES INSTEAD OF BEING INFLUENCED BY """"NICE"""" PROMISES. MOST PEOPLE TEND TO FINESSE THEIR WORDS, SPEECHES, AND RESPONSES TO MANIPULATE THE THOUGHTS AND OPINIONS OF OTHERS.",,,,,,,,,,,
5146,Greater understanding of self,,"My political views have changed since I have been incarcerated because through self-discovery into my own issues that lead me to prison & the recovery process, I have become very interested in the problems our country is faced with & solutions to these issues that involves all of us, especially the issues that involve crime & punishment. Many of these issues can be resolved in the rearing of our children. I had anger issues associated with a traumatic childhood & very dysfunctional parents. Mant times I sought help with authorities who turned a blind eye. My psychological & emotional issues lead me down the path of antisocial behavioral patterns. I was bullied, beaten & tormented for years by abusive parents. I understand why people who are damaged & hurting can be hurtful to others, wanting others to feel rhe pain & suffering they feel inside. This is a serious problem facing this country, not only from the innocent lives destroyed in our schools & neighborhoods but the social & economic issues facing this c",Should not matter,,"I think too much is made of racial identity today, especially where my political views are concerned. In my view all human beings are created equal & political views shouldn't be influenced by race. Political views should be intellectually discerned by a fair & balanced approach to the political system regardless of race. ",,,,,,,,,,,
4499,More aware,,I am less judgemental and more aware of reality vs. entertainment.,Race impacts opinion of politician ,,"If you are of color you cant like Trump, if you are not of color and you do like Trump you are a racist.",,,,,,,,,,,
4654,Importance of political voice,,Cause it limits the way i can help the comunity or put my point of veiw to the ones who would listen.,,,The problem with racial idenity is that some people are racis and make it that way cause they're not happy.,,,,,,,,,,,
1771,Less interested in voting,,Yes I will never get involved in a election again. I fill if I had not helped in the election for sheriff in 2006. I would not be here now.,Na,,,,,,,,,,,,,
7949,Need for change in system,,"Yes. I realized that since being incarcerated, my political view has changed because i am a felon and although ive made a huge mistake it doesnt mean im a horrible person. I am stuck in prison for twenty five years and charged as a juvinile for murder.we now have a mass incarceration since ive been locked up and i am part of the problem.ive learned my lesson but am stagnet in here now just awaiting my lengthy release date. I am stuck doing a long term minumum and the only ones who can change this issue is the government and more than likeky republicans always win.they are against prisoners like myself.",Treatment because of race,,Ive witnessed racial bias within my racial identity and it effects my view on politics because i realized how prevelent race matters in the U.S because we are treated differently dependent on our race,,,,,,,,,,,
7871,None,,[No],Na,,[Not sure] I'd like to say not at all but I'm not sure that true. There are movements that I don't agree with. Will explain in attached letter.,,,,,,,,,,,
2322,Does not care anymore,,Yes they have cause its kinda like i just dont care anymore.,Treatment because of race,,Different racise act and treat people different some treat people with respect and others dont.,,,,,,,,,,,
4984,Views on political parties,,"I used to believe Democrats were the ideal system, now I don't. I think government is too involved in individuals lives and democrats are restricting the individual's right and freedoms too much.",Tries not to let race affect views,,"I was broght up as a Pentecostal Christian, not to be racist. Although it is hard not to be in prison, I still try to view interactions with other inmates based on individual merit and conduct of the other person and not race.",,,,,,,,,,,
1962,Views on political parties,,"I used to be totally Democratic in my thinking, but after three decades, plus of incarceration, my views are more down the middle. I like some Republican views, but not all.",Experience because of race,,Being Native American and anglo I'm sort of caught in the middle,,,,,,,,,,,
5827,N/A,,Ok,Na,,Ok,,,,,,,,,,,
6896,More aware,,It's made me awhere of my way of thinking,Does not affect opinion ,,I believe that political views is up to each person,,,,,,,,,,,
2298,More aware,,I have been made more aware of how much we struggle socially,Racial differences in prison ,,"Politics being incarcerated is all about your race and that defines who you hang out with and """"how to act"""" i think its very unethical and is really unorthodox",,,,,,,,,,,
4637,Need for change in system,,"Yes because i feel as if ive been fucked on my case , i made one wrong choice now i will suffer for it for the rest of my life. Not right at all.",Confused by question ,,Im not sure what the question is asking?,,,,,,,,,,,
1294,Need for change in system,,I want to vote for the candidates that Will provide the most rehabilitative programs for addicts prisoners mentally I'll etc.,Does not see color ,,I do not see color,,,,,,,,,,,
1017,N/A,,You,Na,,Yo.you,,,,,,,,,,,
2957,Views on politicians,,[Yes] I have seen first-hand how some of the views of elected officials are unrealistic & sometimes even bias. To truly change our country for the best we need our politicians to get real-life feedback and help from people living in the situations they want changed.,All people are the same,,"[Not at all] I am Italian/Irish/German/Native American and have lived in all white suburbs & all black inner cities, people are all the same when it comes to core values.",,,,,,,,,,,
7314,Time,,"Now being older, I can see crouckedness, more in peolpe than before.",An issue besides race,,It would be very helpful if we could say something about the voting ect... Only because we have great insite in and out of the world.,,,,,,,,,,,
6874,Personal experience,,Alot cause I cannot help change my tribe to help find help for pur family.,Experience because of race,,On my opinion on this question is I believe that our rights are being violated on a daily. The prison's offical's are not being respectful to our religious items cause my eagle feathers have been damaged by the same staff twice.,,,,,,,,,,,
4874,Need for change in system,,No sex labels no parole no kasper and NO REGISTRATION.,,,"End KASPER and end having a sex offender registration labels that make men targets for the real Exploitation of citizenship . . .  End this bad lawallthree of them Kasper, registration and
Any kind of Parole . I do not need monitored i need a fresh start that is all no felonies are going to help only knowing the right way to use pc and that is to be given credit for when obtained then erase felony and restore full citizenship to me.",,,,,,,,,,,
7365,Need for change in system,,Yes cause i. Got a closer look first hand how currupt n dirty our legal system is which falls right back to our goverment,Treatment because of race,,Depending on race will determin how the goverment will treat peole. Comes down to education and whos high up n who knows who our goverment is broken.,,,,,,,,,,,
2429,Importance of political voice,,I wont to voice the oppertunetiy for the programs avilble,An issue besides race,,"Evey thing is based on equel,, to say that the standerd is economic not Race",,,,,,,,,,,
7707,Experience in prison,,The state puts me in a privately owned dwelling the prisons are privately ran and owned?? Over misdemeanor crimes on christmas...charges me to be here and im cold and hungry??,Not involved with politics ,,Not sure im not very politicaly inclibed,,,,,,,,,,,
458,Views on political parties,,The political situation has changed . The democrats are wanting socialist government and that leads to the Russian type of life.,Racial differences in prison ,,In prison there is a racial problem. Most of the guards are black and they are treat white people bad.,,,,,,,,,,,
4775,Importance of political voice,,I wish that I could have a voice.,Experience because of race,,Being of latin descent people discriminate against us.,,,,,,,,,,,
1276,Cares more,,My attitude has changed a lot the way I carry myself as a human being I care a lot more and I don't tolerate a lot of ignorance...,Na,,Love it.._Ù÷__Ù÷__Ù÷_,,,,,,,,,,,
3537,Education,,Ive learned a little more,Treatment because of race,,They are raisist.in this prison and.they say there not but they treat. Ecery race difrent,,,,,,,,,,,
3116,Importance of political voice,,I am a felon now i can not vote,People are racist ,,People are racist eitherway,,,,,,,,,,,
7938,Views on political parties,,I used to be very republican inclined yet I now gravitate to democracy,Sympathic towards own racial group,,Im Spaniard so I am connected to Hispanics and sympathize with what they deal with we support each other emotionally,,,,,,,,,,,
3421,Importance of political voice,,Yes ...there is so many smart and intelligent prisoners that would like a chance to vote or even give an opinion to any political questions,Experience because of race,,"Im a latina, chicana ...and sounds stupid when giving a political opinion",,,,,,,,,,,
805,N/A,,Andrew,Na,,Andrew,,,,,,,,,,,
3891,View on politics,,On some things,Na,,The way things are done,,,,,,,,,,,
2685,Pays more attention,Believes political vote matters more,"Yes because i pay more attention to politics, and i believe every vote should count if you are a citizen of the united states.",Confused by question ,,I dont quite understand it.,,,,,,,,,,,
2060,Importance of political voice,,The laws are set and i have no say so in them being passed or denied.,,,Majority speaks volumes.,,,,,,,,,,,
6337,Cares more,,Now i care,Impacts who affiliates with ,,It plays a roll in who.i talk to and who talks to me,,,,,,,,,,,
7780,Greater understanding,,[Yes] I now have political views and opinions of how I want things to be. I now understand how politics affect my life,Does not affect opinion ,,"[Not at all] I've shaped my own opinions, have come to my own conclusions from what I learn.",,,,,,,,,,,
7961,Political opinion,,Yes it makes me realize about politcal views,Na,,"It just does, you got to see it yourself.",,,,,,,,,,,
612,Views on politicians,Race/Ethnicity ,Yes because of the ways the President does things that are no good for Hispanic people,Experience because of race,,Because am Hispanic in a white mans world,,,,,,,,,,,
6272,Time,,They have changed a great deal as i have taken the time to pay attention to the fear that our people have had instilled upon them over the last fifty years due to the addiction rate in our society. This has taken control of our social structure.,,,"I feel that race, religion and other beliefs are the social structure for fhe most part. In this state the seperation of races is not an issue as we are without a serious gang issue,for that we are grateful",,,,,,,,,,,
2244,Experience in prison,Importance of political voice,Ive seen that the system has targeted certant individuals and i would like to vote against certant political members.,Experience because of race,,"I believe alot of latinos where wronfully convicted during the years of the 1940,50s and 60 to today i believe hispanics need help in fighting back in the judicial system an politics",,,,,,,,,,,
1074,Cares more,,"I was incarcerated in 1996, five months after I turned 21 years old, and I didn't care about voting then.  I was too wrapped up in using substances to dull my emotonal pain from childhood trauma to worry about having political views or being civic-minded.  Now, though, after 23 years in prison, I realize how greatly I'm affected by the laws and the political climate.  I have spent years as a Paralegal (from a Blackstone Legal Assistant certification) researching the law and standing up for civil liberties of incarcerated men like myself.  I have a case in the 8th Circuit Court of Appeals number 19-1995 challenging Arkansas' use of unpaid prisoner labor as unconstitutional because 45 (or 48 depending on the source) other states pay their prisoners for labor.  I also have a lawsuit challenging the prison mail policy as violative of the Arkansas Constitution's equivalent of the 1st Amendment.  Before I came to prison, I wouldn't have even known about these issues or cared about another man's civil liberties, but",Impacts political opinions,,"My racial identity somewhat informs my political views in prison because I am the child of a Caucasian father and Mexican mother.  As such, I feel strongly about immigration issues.  Whereas I support tightening border security to curb the influx of drugs and the cartel-driven human trafficking, I do not support the Remain-in-Mexico policies or the refugee limit.  To me, they amount to a restricition on non-white immigrants only.  These factors that are race-driven strongly somewhat influence my political views, but policies such as gun control and mass incarceration go beyond race.  When one person's civil liberties are eroded, the civil liberties of every person are eroded.",,,,,,,,,,,
6547,View on politics,,Have,None,,No,,,,,,,,,,,
1367,N/A,,Good,Na,,Good,,,,,,,,,,,
6177,More interested in votes,,"Porque a un estando preso puedo aportar a la sociedad. Dicen que cuando uno cae preso, uno esta muerto para la sociedad. Votando no solo demuestro que existo, si no tambien puedo elegir el mejor candidato para el pueblo o naciÌ_n.",,,"No hace ninguna diferenci hacia los presos. Por que lo unico que ellos quieren es mantener a uno preso,en ves de reabilitar al preso para que cuando sea el momento de volver la comunidad tengamos los intrumentos para tener un buen trabajo. Estar preso es un castigo que uno tiene que pagar, estando apartado de la sociedad y de los familiares No! para hacer a uno un criminar de la comunidad.
",,,,,,,,,,,
4427,Views on politicians,,Donalt trump in my oponion has alot of issues and he has made our country look bad .,Does not affect opinon,,I really have never had an issue with this.,,,,,,,,,,,
1501,N/A,,Can't see the question,Na,,I can't see the question,,,,,,,,,,,
4391,Believes political votes matters more,,"ONE OF THE GREATEST THREATS IN PRISONS ARE THE INDIVIDUALS THAT PREY ON THE WEAKER INDIVIDUALS. THEY DO SO BY EMPLOYING SEVERAL MANIPULATIVE TACTICS. I HAVE OBSERVED THAT THE SAME PERTAINS TO POLITICS AS WELL. THE """"PEOPLE'S VOTE"""" IS A CRUCIAL PART TO THE POLITICAL SYSTEM BECAUSE IT IS OUR VOTE THAT DETERMINES WHO WILL TAKE OFFICIAL POSITIONS AND, LIKE IN PRISON, ONE MUST LEARN TO LOOK PAST ALL THE GRANDEUR AND SPLENDOR IN ORDER TO DISCOVER THE TRUE INTENTIONS OF OTHER PEOPLE AND TEST THE VERACITY OF THOSE WORDS. WITH THAT BEING SAID, OUR GREATEST DOWNFALL IS GREED AND WHEN WE """"DISCOVER"""" THE BENEFITS OF CERTAIN TITLES AND/OR POSITIONS THEN WE SUFFER THE VULNERABILITY OF CORRUPTION. NOW, WHEN YOU COMBINE BOTH GREED AND POLITICS ONE CAN DISCOVER WHAT REALLY DRIVES THESE INDIVIDUALS IN POSITION. THIS IS WHY I FEEL THAT IT IS CRITICAL THAT WE START PAYING ATTENTION TO WHAT IS REALLY BEING SAID BY POTENTIAL CANDIDATES AND LEADERS SO THAT WE CAN MAKE MORE RATIONAL DECISIONS INSTEAD OF BASING MOST OF OUR DECISIONS OF",Depends on one's perspective,,"IT'S ALL A MATTER OF PERSPECTIVE. WHEN ONE IS ACTUALLY WILLING TO STEP BACK AND SEE THE CURRENT ISSUES AT HAND AND WEIGH THEM THEN ONE CAN START TO THINK FOR THEMSELVES INSTEAD OF BEING INFLUENCED BY """"NICE"""" PROMISES. MOST PEOPLE TEND TO FINESSE THEIR WORDS, SPEECHES, AND RESPONSES TO MANIPULATE THE THOUGHTS AND OPINIONS OF OTHERS.",,,,,,,,,,,
2273,Political opinion,,aALL THE MORE REASON FOR GUN CONTROL!!!,Experience because of race,,First of all im not in prison im in county jail. So needless to say information of any kind isn't bothered to be given to us... i live in a predominantly mexican community who unfortunately could give a rats ass about most of the news in our community other than immigration issues which i get but we have a much broader spectrum of issues that affect everybody and we need to stay involved. Whether you are here legally or seeking some sort of political assylum you matter... i am 1st or 4th generation born here in the united states depending on which side you go by. I stay informed because i love my country and our safety and political issues are important to me. They always have been and always will be. I find out news because i go seeking it. I love the democratic nation we have for the most part been. I also believe getting trump out of office is the safest thing we have done since he went into office. It just should have been done a long time ago. Matter of fact the son of a bitch never should have made it i,,,,,,,,,,,
5623,N/A,,Good,Na,,Good,,,,,,,,,,,
2101,View on politics,,Have,Na,,What,,,,,,,,,,,
2397,Experience in prison,,Treatment towrds inmates from deputys,White people treated better,,Whites get more freedom still,,,,,,,,,,,
8063,Education,,I learned about different political views in prison .,US has made progress,,I believe that the United States has made lots of progress since the days of slavery in the Civil War years.,,,,,,,,,,,
4314,Edcuation,,Yea because now tru.the tv news ive been more informed about what is going on with our governors and what theyre doing for the community and people on this country,,,Just give us a second chance we learn from.mistakes so why not participate on stuff like voting while incarcerated also provide more programs,,,,,,,,,,,
7769,None,,[No],Not sure,,[Not sure],,,,,,,,,,,
2272,Need for change in system,,"I hadn't realized how many innocent peoples lives were being destroyed by our so called """"justice"""" system.",open minded ,,Ive always been open minded and unjudgemental no matter the enviroment im in,,,,,,,,,,,
5382,View on politics,,Yes,Yes,,Yes,,,,,,,,,,,
3813,Cares more,,"I never really used to care about what the government did, because I didn't think that it never really pertained to me, but as I choose to grow in prison, I changed my perception on the subject due to seeing that I am partically involved in this country, so I.mow choose to pay attention on how this country is being ran.",Does not affect opinion ,,"At the end of the day I'm still American, so race has nothing to do with how I see my political views.",,,,,,,,,,,
7553,Experience in prison,,[Yes] Yes this being my first bid I never understood the impact being incarcerated has on families and loved ones. So my political views toward the rules or laws that cause one to be incarcerated have changed.,Other races can not understand experience,,[Somewhat] I feel other races may not understand the struggles of another race because they were raised on the other side of the fence,,,,,,,,,,,
3147,Desire to make a difference,,Want to help make change,None,,No,,,,,,,,,,,
2298,More aware,,I have been made more aware of how much we struggle socially,Racial differences in prison ,,"Politics being incarcerated is all about your race and that defines who you hang out with and """"how to act"""" i think its very unethical and is really unorthodox",,,,,,,,,,,
3726,Need for change in system,,I believe there should be better laws for specfic charges and laws because people are getting too much time for their crime that doesnt make sense,Treatment because of race,,Because if your one particular race you tend to get messed with more then the other race,,,,,,,,,,,
4493,Time,Education ,Before my incarceration I didnt have any politcal views. But since I have had time to inform myself and educate myself on many things and how they can affect me and my family,Can relate to others,,From a minorities perspective you can relate more and are sensitive to certain issues that your race has faced in the past or currently such as mass incarceration or even immigration reforms.,,,,,,,,,,,
7958,Views on politicians,,"Now i see that nobody really is on our side. Everyone says they are until they become elected, once that happens they forget all about us",Describes person race,,Being hispanic,,,,,,,,,,,
4837,Believes political votes matters more,,"I didn't think they were that important but i realized that """"Voting"""" especially our votes can promote our wishes of wanting a person in office that we believe will reform the judicial system properly into giving certain crimes and circumstances lesser punishments and not using a criminal history against them! ",An issue that needs to be addressed,,I reconize that racism isn't dead! It is still an issue and it needs to be addressed properly....we are all human!,,,,,,,,,,,
2665,Need for change in system,,Yes need to.stop drug trafficking. I here for a dui. First time.in jail and have seen many thungs that this syatem needs to.change,,,Well the tank im in and of coirse jail first and only time everyone was well educated regardless.of what they are in for,,,,,,,,,,,
5685,More interested,,Well before. I wasnt. Into politics. Now im very interested.,Na,,No commit. Thank you.,,,,,,,,,,,
1079,N/A,,Jjhiggghkh kjl on looking ferry gun,Na,,Justin in unit fuguing in in knoll honky in I jnbjbnbmmlml!,,,,,,,,,,,
5239,N/A,,In a way,Not sure,,Im not really sure.,,,,,,,,,,,
1125,Race/Ethnicity,,Black's don't matter,Injustice towards Black people ,,Blacks don't matter,,,,,,,,,,,
2676,Experience in prison,,I dont feel being incarcerated has rights. They try to break our will and say were in jail.. like everyone knows were on our own and helpless.. they treat us like the amimal shelter and we hurt too,Treatment because of race,,Being a mixed black and hispanic male hurts. We are seen as bad and that puts me on my gaurd in subjects like that,,,,,,,,,,,
3970,Views on politicians,,I have seen alot of the political impasses more because the elected officials that are voted in make decisions that truly do effect me as a prisoner in this system.,Treatment because of race,Racial differences in prison ,"I found that it is hard enough to suceed in the world when you are a minority. It is much harder in the prison system.  The more centralized, the worse it is.",,,,,,,,,,,
3455,More aware,,I am more aware of what is going on,Depends on race,,Different races feel differently,,,,,,,,,,,
7964,More aware,,Everyone has diffrent oppinions,Not sure,,Im not sure,,,,,,,,,,,
1862,Education,,Before I was incarcerated I didn't keep up with much of the news but now that I do I can see how every persons opinion matters and how important the country needs our votes,Impacts view on politicians,,I am half Hispanic and with the President that's currently in office I feel that he is a racist against the Hispanics. I feel he done Puerto Rico terribly wrong and this stupid wall on the border is a waste of money. And look at how he treated the immigrants that were walking hundredsxof miles to get here. Also look how he treats them once they are put in holding places. I don't believe that he's far from being a communist as Adolph Hitler was,,,,,,,,,,,
4605,Views on politicians,,"Yes,because I grew up in a time where the things that are going on in this generation were non-existant back in the eighties,although one thing that's always been true is the level of Racism here in the United States and in other places. And it seems like our presidents are doing nothing about it,but then again we have a little thing called freedom of expression. And it just seems to me that the fat cats in office are just worried about who's got the deepest pockets,and there for Money talks and Bullshit walks.",Impacts political perspective,,"Well I am of Mexican descent my dad is Hispanic and my mom is caucasion,so my personal feelings on the whole Border Wall thing is strongly opposed,now although Border Security is an important role in keeping illegal drugs from entering our country, it's eneffective in stopping drugs from still getting into th United States by airplane,and instead of dealing with that issue our fearless leader President Trump is more worried about the how did he put it? """"The Brown Menace"""" from coming into our country Illegally and then in his campaign he made the comment of Mexicans are nothing but Rapist and Murderers. So when I express my feelings to caucasion inmates who most are my friends I get attacked. But the bottom line is this the Mexicans who are making it over the border,they're doing it because they want a better future and life for their families,and if you cut me or them we bleed the same color as you. Now my dads dad enlisted in the United States Army to get his U.S. citizenship and fought for a country who loo",,,,,,,,,,,
2673,N/A,,Idk,Does not know ,,Idk,,,,,,,,,,,
3082,Education,Race/Ethnicity ,Since watching the news all racial status has change alot,Na,,N/a,,,,,,,,,,,
274,More aware,,I have become consciously awaken.,Na,,I want you to think about your question.,,,,,,,,,,,
5700,View on politics,,Yes,Na,,Why,,,,,,,,,,,
1482,View on politics,,Yes,Na,,Ok,,,,,,,,,,,
7282,Need for change in system,,Prison reform and inmate rehabilitatiom,Slightly ,,Slight racial lines,,,,,,,,,,,
4919,Political opinion,Need for change in system ,Yes cause i feel non violent or drug offenders get too lenghty a sentence,Not sure,,Uncertain,,,,,,,,,,,
4654,Importance of political voice,,Cause it limits the way i can help the comunity or put my point of veiw to the ones who would listen.,,,The problem with racial idenity is that some people are racis and make it that way cause they're not happy.,,,,,,,,,,,
2359,Education,,News,Should not matter,,I dont think race should matter,,,,,,,,,,,
3909,Expanded view,,Well being in this place you see tinghs more diferent,Treatment because of race,,Well like all hispanics we fell left out,,,,,,,,,,,
4225,Religion,,God' sovenity and his kingdom will come.,Na,,Neotural.,,,,,,,,,,,
5679,Political opinion,,They have because i have a view of wanting someone who has respect and common curtisy for themselves and others rather thta has has.money power or fear,Could be more segregation ,,I feel there could be more segragation between races,,,,,,,,,,,
2388,Pays more attention,,"Now i pay more attention as to what is happening in our country, State, Federal, County, and City, and what the elected officials are doing to """"fix"""" this country. Still much racism exist in this country and in our government.",Experience because of race,,"Being of mexican desent i have to bear alot of insult to my """"people"""" thus we are labeled as bad people, but they neglect to realize what creates such an individual, friends, peer pressure society, television shows, movies, video games etc. Or simply their childhood played a major part on creating the adult, but in reality this is for all races because everyone is first and foremost a Human Being.",,,,,,,,,,,
5673,N/A,,I cant at this time,Describes own race,,Because im mixs,,,,,,,,,,,
3973,Cares more,,"Because before i didn't care enough about political endeavors, i was inmature to understand the vital importance of it.",Experience because of race,,Because as a hispanic it seems as if my people are one of the main target.,,,,,,,,,,,
6896,More aware,,It's made me awhere of my way of thinking,Does not affect opinion ,,I believe that political views is up to each person,,,,,,,,,,,
8022,Importance of political voice,,I need to vote,Experience because of race,,They always have hispanics in news,,,,,,,,,,,
3611,Believes political votes matters more,,Vote,Na,,,,,,,,,,,,,
8187,N/A,,Hokey aset to,,,Este,,,,,,,,,,,
2166,Desire to make a difference,,"Yes, because i want to do important things now",Does not,,It dosent,,,,,,,,,,,
5868,View on politics,,They have,Na,,Plead the 5th,,,,,,,,,,,
2352,Personal change,,Am a better man,Does not affect opinion ,,Not at all,,,,,,,,,,,
3139,Need for change in system,,I had respect for the jail system rule but now they lost my respect do to the way they mislead us and the amount of time they keep us here is put of control is like they make up law as they go and abuse them them and not follow them and hang us if we do like it.,,,They just have their ways .,,,,,,,,,,,
3094,Pays more attention,,I really didnt pay attention to politics before i was locked up.but now that i some what have a idea of whats going on in the wirld of politics i would like to have my vote count.,Na,,Being .,,,,,,,,,,,
5834,Political opinion,,No peace,Does not know,,I dont know,,,,,,,,,,,
6597,Experience in prison,Importance of political voice,"I didnt use to care because i really didnt understand anything about politics..but after seeing things that ive seen since being here,it just really made me want to be more active in voting and making my voice heard",Does not understand ,,I really dont understand what my recial idnetity has to do with my political views,,,,,,,,,,,
1007,None,,No,Does not know ,,Idk,,,,,,,,,,,
175,Expanded view,,"Before been incarcerated, I only saw to my own problem's, meaning that I wanted the issues that affected me to be of higher priority. Now I see that as a community we need to work on compromises to achieve our goals while helping those around us. This has change how I fuondamentaly see the issues that our nation faces today. Before I used to supporter a particular political party just because they support one issues that I feel strongly about without caring about the rest of their political views. However, now I tend to look deeper into what each candidate supports and not just vote for one party regardless of there views.",Perspective from culture,,"I see issues from my cultural view of what is right and wrong. This belief where instilled in me when I was young and a lot of then were base on racial identification, the people I mostly tended to associated with.",,,,,,,,,,,
6477,Education,,I wach the news more,Does not matter,,It does not matter cuz u are a person right well we all are the same on the inside,,,,,,,,,,,
1974,Need for change in system,,Because we shouldnt be charged with double jeopardy cases which were taken care of 6 years ago just because this county needs to pay for their jail and courthouse. It is illegal and unconstitutional and now my civil attorney will have to teach this county that lesson. I currently have people contacting media and posting all of this on social media for support,,,Soy paisa,,,,,,,,,,,
4278,View on politics,,Yes alot,Experience because of race,,Im black and my skin color has everything to do with it,,,,,,,,,,,
8194,Importance of political voice,,I think we as a people need to exercise our rights,All are equal,,Its the same news for everybody,,,,,,,,,,,
3172,None,,N/a,All should be equal ,,All races should be fair,,,,,,,,,,,
4060,Views on political parties,,Seeing the true colors of the parties.,Does not affect opinion ,,It just doesnt apply to my politics,,,,,,,,,,,
1988,Experience in prison,,"Yeah because we always get the but end of the stick, like the saying shit goes down hill an we are down hill",Not sure,,I cant explain but it just does,,,,,,,,,,,
3005,View on politics,,[Yes],,,"[Not sure] when they give up on themselves, stop pursuing education; They just dont care to know that their opinion matters to.",,,,,,,,,,,
2174,Believes political votes matters more,,It made me want to regester to vote.,Treatment because of race,,Racial typing,,,,,,,,,,,
1892,Education,,Science,,,The I used to the this,,,,,,,,,,,
7966,Believes political votes matters more,,I am gonna try and get my rights to vote back,Does not affect opinion ,,Race does not have anything to do with my race,,,,,,,,,,,
