,Primary_Topic_p,Survey_ID,p_change
633,More interested,5152,"Yes they have or should I say that now I pay more attention,in the past I didnt really care about politics but now I know that things are starting to go in a better direction with border security and mainly and to deport all gang members that are here illegally, and believe me there is a whole lot of them in prisons all over the U.S."
431,Views on politics,3915,Politics are worried about them and the money they can raise for there campain
627,Views on politicians,3290,I want to be careful on who i vote for because some political candidates wont favor me just because of my class of wealth and race
653,Experience related to prison or justice system,4566,because i think they are trying to help people that are in prison more now then before when i was in the last time
728,Views on political parties,3396,"Yes, use to believe in the Democrats but not now. They are very much interested in themselves verses the country"
264,"Personal life, including religion and race",2521,"It looks like I am to join one race while incarcerated, thats the political views of others not myself persay."
209,Less interested or less belief in system,7435,I dont vote
316,I don't know or I don't feel talking about it,3044,Don't know
513,Views on politicians,612,Yes because of the ways the President does things that are no good for Hispanic people
313,I don't know or I don't feel talking about it,6017,Nasty ducks erictiob.with prejusts
534,More interested,3147,Want to help make change
319,I don't know or I don't feel talking about it,8187,Hokey aset to
7,"Personal life, including religion and race",9,Things needed to change in my life
393,More interested,602,It makes me want to vote more
141,More interested,2899,"[Yes] I'll just say this... since my incarceration, I've learned to be more attenative when it comes to politics."
86,Education and more info,1459,I've had a lot of time to sit down watch the news and get a better understanding of what's happening in the world
478,More interested,4499,I am less judgemental and more aware of reality vs. entertainment.
503,More interested,3116,I am a felon now i can not vote
753,Views on politics,6869,I'm now antidisestablishmentarianism.
215,Education and more info,4146,Incarceration did not change my views. What i have learned while incarcerated has changed my views. I now have a much more informed perspective from which to opine.
580,Need for change in system,1974,Because we shouldnt be charged with double jeopardy cases which were taken care of 6 years ago just because this county needs to pay for their jail and courthouse. It is illegal and unconstitutional and now my civil attorney will have to teach this county that lesson. I currently have people contacting media and posting all of this on social media for support
562,Views on politics,5679,They have because i have a view of wanting someone who has respect and common curtisy for themselves and others rather thta has has.money power or fear
398,I don't know or I don't feel talking about it,7149,Re
668,Experience related to prison or justice system,2930,[Yes] Because of the conditions in which we are made to live under this has changed my view of politics all together
490,Need for change in system,1294,I want to vote for the candidates that Will provide the most rehabilitative programs for addicts prisoners mentally I'll etc.
252,More interested,6279,I honestly was adicted to drugs right out of high school so i didnt care about politics but now im starting to see how messed up our system is
468,Need for change in system,3434,"People being incarserated for one. People with the crimes of rape, child molestation, and murder get less crimes then people with drug charges. There isn't enough rehabilitation out there people such as Judges, DA, and even higher in rank are just quick to throw away the key rather then help. We put all this money into just locking people away instead of trying to invest in making them better. The money waisted on inmates that could have been given a chance to find help rather be thrown away first chance could have been put on our childrens educations, creating environments to take kids off the streets and teach them other things outside drug dealing and street husseling. We waist so much money yet none of it helps our yoitb the next generation become better then we ourselves have became."
357,Not changed,5112,No
254,Views on politicians,5888,Because of trump
276,Education and more info,2359,News
178,Views on politics,2991,[No] Goverment is needed but wrongly misinterpreted yet somewhat affected by overall in the right direction. The right smart & honest people in the right positions will help lead the world in the right direction.
281,"Personal life, including religion and race",5296,I mean all the way around..im just a much better man thats all..i have kids to take of of..just time.to man up
390,Education and more info,489,I've learned more about it then I've known before.... I wasn't really into it then like I am now...
508,More interested,2685,"Yes because i pay more attention to politics, and i believe every vote should count if you are a citizen of the united states."
749,Not changed,7861,[No]
583,Not changed,3172,N/a
129,Views on politics,4658,Fuck yes
144,More interested,7525,[Yes] Before coming to prison I didn't have a political view. after being incarcerated my eyes were opened to the injustices on us that made to pay attention to have a view.
645,Views on political parties,2467,"Many killings have been happening, including familys with little kids and babys. Its not ok, i say. Democrats and repoblicans should not be focused on what the president did or did not do. Elswere, to pay attention on ower poeple and the things thats going on around. Goverment has the eye in the sky, why not use it correctly."
715,Need for change in system,2895,"[Yes] I am in state prison for essentially ""lying on my resume"" 5yrs + 20yrs of probation on a FIRST OFFENSE OF ANY KIND! 24 yrs in the Army meant NOTHING!"
767,Views on politics,421,Redder
72,I don't know or I don't feel talking about it,5814,Tfuidvfxf. fhn fd u .b dg g dg. dn fg hhsfs ygjdd d dnjt. f hgf
235,Views on politicians,5292,Ye they have not all politicail people are agains the incacrated but most are
37,I don't know or I don't feel talking about it,4893,I rsther keep to myself
