Primary_Topic_p,Survey_ID,p_change
I don't know or I don't feel talking about it,8012,Idk
Education and more info,6935,I didnt have any before
More interested,8086,"Well.before i had no interest. Yet having to grow up.and. learn values and self respect it drives you to want to be part, to make a change"
Not changed,3260,No
More interested,7390,Because i havent had the chance to vote or be heard
Less interested or less belief in system,2187,They dont give a fuck about us
More interested,4143,I really never paid much attention when i was free i was to busy doing things
Views on political parties,2449,Yes because i am explained the politics and have a variety of opinions and out looks on politics from diffrent racial groups and individuals of both republicans and democrats
Not changed,229,No
Views on political parties,2467,"Many killings have been happening, including familys with little kids and babys. Its not ok, i say. Democrats and repoblicans should not be focused on what the president did or did not do. Elswere, to pay attention on ower poeple and the things thats going on around. Goverment has the eye in the sky, why not use it correctly."
Views on political parties,7554,[Yes] What I come to understand that it don't matter what party has control because their both to blaim when it comes to the deficit and this is the bigest problem facing this country
Need for change in system,5651,We need not be so peti with our drug laws
Views on politics,7493,I had no views prior to incarceration; now I believe in certain core beliefs of left & right wings
Views on politicians,7197,Yes it makes me think that people in politics actually see us as humans
Education and more info,4915,I've been able to gain more knowledge about politics and the illusion that the votes of the citizens off this country count. Votes don't mean anything.
More interested,8022,I need to vote
Education and more info,113,Is different view
Experience related to prison or justice system,4566,because i think they are trying to help people that are in prison more now then before when i was in the last time
Education and more info,4447,I use to belive that all persons convicted serve their entire sentence. Then i experienced unlawful acts against me that placed me in prison for 40 years and then physically forced to serve 40years and a day.
Views on politics,7733,Yes
Need for change in system,2567,Due to over crowding it totaly changes the dinamics of housing abilities
Education and more info,1605,"I've been reading a lot of books, I feel like whoever can create more jobs and, help with the U.S. debt should be in charge."
Less interested or less belief in system,5306,I'm leaving this country like a sailor leaves a sinking ship.
Need for change in system,3106,The incarceration laws
Need for change in system,3139,I had respect for the jail system rule but now they lost my respect do to the way they mislead us and the amount of time they keep us here is put of control is like they make up law as they go and abuse them them and not follow them and hang us if we do like it.
Education and more info,2337,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump
Views on politicians,7224,"3 and a half years ago i was more democrate.
Hillary,pelosi, shiff changed that.
Evil people their."
Education and more info,2890,[Yes] being incarcerated i see two point of views insid & outsid the box
Not changed,5421,Really my views hasnt changed but the things i here that is trying to be aproved is not ok
Experience related to prison or justice system,5534,After seeing how ks treats crimes their own officals committ .ther e is always a cover up they investigate state how we fired them all when the heat is on but once dies down sameones come back after officals leave some even come back permoted to make up for their time off. They just did that here in lansing ks and edcf and hcf.
Views on politicians,3781,"Most defenetely. Everything in these places is about politics. But as i get older i can't help but think of my childrens future like i do since we've had this current pretender in office. My children are currently scared because their father has been absent from their preciuos life for 16 years, and will God willing be getting out on 8/26/2020, to face deportation to a country by the name of Honduras, can you imagine whats going on through their young minds right now as they watch the news which are being bombarded by news from that side of the world. This current president has caused nothing but uncertainty in the minds of hispanics and in the minds of our children. Never in my life did i think that my children would be watching the news more than i do, and all because right now my future along with thousands of other hispanics futures are in limbo. So yes, my political views have changed tremendously."
Views on politicians,4768,"I realize that no matter who we vote for, they all seem to fail us in some way as we are not as important to them as they tend to make us seem."
Experience related to prison or justice system,2930,[Yes] Because of the conditions in which we are made to live under this has changed my view of politics all together
"Personal life, including religion and race",6707,Lord
More interested,3147,Want to help make change
Education and more info,4329,I now have time to see the crap the political system is doing to the poor and uneducated
Need for change in system,3726,I believe there should be better laws for specfic charges and laws because people are getting too much time for their crime that doesnt make sense
Education and more info,5712,Things and suroundings change your views
Not changed,7506,[No]
Education and more info,2353,Cuz alot.of people give me ideas
Views on politics,4278,Yes alot
Need for change in system,4846,I definately have lost all respect for the system in regards to reform an rehabilitation. So much money is set aside for programs an education so people don't have to continue on in this vicious cycle.
Views on political parties,7338,"I use to be a democrate, and they have proven to be crazy."
Experience related to prison or justice system,6872,Because prison politics are american politics in a nutshell.
Education and more info,5381,I know more about politics.
More interested,763,"I am more interested in politics now, and more informed of different parties views."
I don't know or I don't feel talking about it,6014,No i cant explain
Education and more info,5287,I have gathered/learned more info. concerning surrounding issues.With more info.you can reach a better understanding.
Need for change in system,2378,Yes i think that laws should be differnt or pertain more to where you come from and not so much as a general thing.
I don't know or I don't feel talking about it,1985,I dont know.
Education and more info,175,"Before been incarcerated, I only saw to my own problem's, meaning that I wanted the issues that affected me to be of higher priority. Now I see that as a community we need to work on compromises to achieve our goals while helping those around us. This has change how I fuondamentaly see the issues that our nation faces today. Before I used to supporter a particular political party just because they support one issues that I feel strongly about without caring about the rest of their political views. However, now I tend to look deeper into what each candidate supports and not just vote for one party regardless of there views."
Views on politics,2273,aALL THE MORE REASON FOR GUN CONTROL!!!
I don't know or I don't feel talking about it,8147,I just want to get some points to finish my movie.
"Personal life, including religion and race",4495,"I now know that those in power only seek to divide us. Yet they claim to desire to unite us. What ever happened to """"one nation,under GOD""""?"
Education and more info,6421,Befor becomming incarcerated i had no idea about the importance of politics. I believed that there was a sence of justice. I was wrong there is what is true and what the AG wants to be true. The AG is a political position and each AG needs to be needed. If we look at the rate of incarceration and the rate of crime they are totaly out of order
Need for change in system,5887,Society has neglected me and i am injustly incarcerated.i could not afford proper representation.
More interested,3069,"I really never paid much attention to politics and I am ex military so pretty much I always thought that the democrats were always antimilitary and only the republicans ever did anything good for our troops. Now that I actually pay attention to politics I see both sides have good views and bad views, well they use to until lately when the democrats started to try and change the US into a socialist government."
Education and more info,6893,I have grown emotionally to understand the worlds problems.
More interested,3777,Theyve changed because I can now see or now I pay attention to what is going on around me and how politics are now affecting prisons
More interested,2132,"I feel that if everyone had the right to an oppinion (vote), the prison/county jails would not be as full and more people from the prison/jail system would want to vote."
Education and more info,238,I've gotten into some intense political conversation which has expanded my views.
More interested,2298,I have been made more aware of how much we struggle socially
Not changed,3260,No
More interested,5436,"  I never really cared about politics while I was a free man, but being in prison has opened my eyes to the reallities of the world.
  The world does not really care about those they put in prison, if the courts say we are guilty, then the courts must be right, then we are viewed and treated as such.
  So, when we try to do things the right way, the world treats us like we are scum of the earth.
  Politics, is just another word for greed. The government do not care about U.S.A. they only care about the money going to their pockets and looking like they are changing the world.
  They talk about being a strong country, yet the reallity of that is fake. We have more enemies then friends, and we waste military resources on petty wars that have nothing to do with us, still, I would fight for my family, if ever given the chance.
  There are so many prisoners who wolud love to get back to their families, and if fighting in the army does that, why not send us there instead, like they us too. It's not like they give a"
Experience related to prison or justice system,5467,Yes.therr things people never see until you come to prison.there are definately some things need tweeking.
Education and more info,4595,"Was a teen when locked up, educating myself as to political stances has led me to be an economist as it tends to support most of my Catholic beliefs.
"
"Personal life, including religion and race",309,I was a youth when incarcerated and really had no political point of view though I am a
"Personal life, including religion and race",7496,"[Yes] Cuando era joven pensaba diferente, que atora que soy un adulto"
Need for change in system,2290,There should be more programs for inmates that are released with no probation no parole. To make it as a productive member in sociaty.
Need for change in system,7686,They r not helping the crimal people r non violent people
More interested,7934,Yes. I really believe every vote counts and we as a free country should really be voicing our oppinions on a ballot.
More interested,7209,"I never use to care, i figured things are the way they are and i have no say in the matter. I've learned that this statement is false, I live in a country were The People rule and that Voting is a very powerful tool that can be used to change some wrong things that have been going on. The majority of the incarcerated population are minorities. (people of color)... Who knows what would happen, if a whole lot of poor, uneducated incarcerated people started to have hope for a better future and started voting."
Education and more info,6607,"I use to be oppposed to anything that opppsed our right to.bear arms but then i came to.underatand that because i was so young and had noone to teach me any better that it was a gift to have that right and to have the responsibility that goes with it. Now you have kids shooting up achools and churches and it scares me, so now i.atronglyy agree that more needa to be done on that issue."
Education and more info,4115,"When I was a solider I believed in the system, since my incarceration I have come across alot of wrong"
Not changed,3742,Nope_Ù÷Ä
Views on political parties,764,Before prison I would've identified with being a Republican  now idk because Republican views frown on convicted felons. IG I'm democrat because I'm a homosexual but idk.
Views on political parties,5029,I use to think i would be a democrat but i find myself agreeing with republicans instead and it seems like the republican presidents do more to actually help.
More interested,2195,"YES CAUSE WE NEED OUR VOICES TO BE HEARD, WE HAVE GENERATIONS TO SUPPORT AND PROTECT"
Need for change in system,3902,"It the world we live in, and it is good to see how there trying to make a diffrents."
Need for change in system,2895,"[Yes] I am in state prison for essentially ""lying on my resume"" 5yrs + 20yrs of probation on a FIRST OFFENSE OF ANY KIND! 24 yrs in the Army meant NOTHING!"
"Personal life, including religion and race",7963,A todos los q hacen dano
More interested,4700,"I have become more aware of the political world, which has allowed me to become more open minded about certain situations. "
Views on politicians,4848,Too many presidents
Need for change in system,689,Well here's a slice of it once the system gives u a label its like a target on your back that's always seen and judged badly like were just not human then they take basicly all are rights and to top it all off they make these new laws that effect only convicted felons which yeah are political views do take an turn for a change.
More interested,564,I use to not care about prisoners rights
Views on political parties,7121,I like the republicans because the would rather have people paying taxes taking care of there family instead of wasting tax payers money living in prison
More interested,3408,"No that thing effect me,i have more intrest in politacal views."
Experience related to prison or justice system,5554,Yes i see the injustice prisoners go threw and i feel no one is doing nothing about it. Thats the reason why iam a big follower of Paul Wright and his team . He publishes the prison legal news newspaper which i get
Education and more info,5246,Not to have leaned something from this setaution would be sad.
Need for change in system,8206,"My political views have changed mostly in respects to our legal system which i have experienced first hand. I am sad to say that my experience has shown me that our legal system is flawed down to its foundation, and in turn i hold little faith in the justice system and its abillity to rehabilitate and re-incorporate individuals into society. On the contrary, my experience has shown me that our government only makes it easier for individuals who have already offended to return to prison in the fashion of a revolving door. I myslfe have found that not becoming a victim of recidivism has been one of the hardest things for me after my incarceration. Granted that i did commit a crime, however, i did serve out my sentence and in turn payed my debt to society. I dont feel that it is fair for me or so many others like me to have to be at a disadvantage in terms of inequality because of our past mistakes. Maybe our country needs to look at how it deals with crime so that we can have a better understanding on how to pr"
Need for change in system,4165,"I see now how bad the crim justice system is, and also how many people are in here for meth related crimes
"
More interested,6962,"The value of my rights and moral objectives have been raised, how I affect the community and how it can me is of the greatest importance. My voice in prison does not matter to anyone but myself but it should not be that way. We all matter and we all need the oppertunity to contribute our voice."
Views on political parties,3396,"Yes, use to believe in the Democrats but not now. They are very much interested in themselves verses the country"
Education and more info,2703,[Yes] I been incarcerated 18 yrs and I do my own studies and I'm in college so I have learnt a lot of things which help develop a more in depth look at life
Views on politicians,612,Yes because of the ways the President does things that are no good for Hispanic people
Education and more info,1892,Science
Views on politics,5426,Yes
Education and more info,5447,I have been able to study further into political leada.
Not changed,5243,No
Need for change in system,562,"I no longer believe in the judicial system, especially Arkansas. I don't believe in the sentencing guidelines, nor the correctional system in Arkansas. I feel all states should be equal in their sentencing and politically no one looks into Arkansas and their outdated laws and mandates."
Views on political parties,7554,[Yes] What I come to understand that it don't matter what party has control because their both to blaim when it comes to the deficit and this is the bigest problem facing this country
Education and more info,7027,"I've become more informed of the political climate and what is happening to this country as time goes by. Honestly, I think that only comes from age, though, not being incarcerated."
Less interested or less belief in system,5454,Goverment number one gangsters
Education and more info,1074,"I was incarcerated in 1996, five months after I turned 21 years old, and I didn't care about voting then.  I was too wrapped up in using substances to dull my emotonal pain from childhood trauma to worry about having political views or being civic-minded.  Now, though, after 23 years in prison, I realize how greatly I'm affected by the laws and the political climate.  I have spent years as a Paralegal (from a Blackstone Legal Assistant certification) researching the law and standing up for civil liberties of incarcerated men like myself.  I have a case in the 8th Circuit Court of Appeals number 19-1995 challenging Arkansas' use of unpaid prisoner labor as unconstitutional because 45 (or 48 depending on the source) other states pay their prisoners for labor.  I also have a lawsuit challenging the prison mail policy as violative of the Arkansas Constitution's equivalent of the 1st Amendment.  Before I came to prison, I wouldn't have even known about these issues or cared about another man's civil liberties, but"
More interested,8020,Yes they have because out there i never really paied no attentoin to what was going kn out there but here i watch the news and see all the bs going kn.
Education and more info,8014,Yes because now i have a more understanding about politicals because i see it every day on the news and how the people suraunding me talk and how it impacts them
Education and more info,1183,I used to say people in prison should be here but being here some people should have a second chance and the system doesn't forgive
Need for change in system,4759,Cuz it's hard to have people find a solution to mass incarsratin that don't get a first hand view of it and how are system is rigged
Need for change in system,7946,My views are strong towards criminal justice reform and democracy
More interested,6726,"Before,i didn't care about politics,but i care now especially when it comes to the way our president tends to answer things on our behalf."
"Personal life, including religion and race",3939,"I don't claim a political party but as of late i have noticed that there has been a want and or need to understand the poor,incarcerated,and others that have been held back.The problem over seas,removal of GOD from everything and how some politicians are really trying to.keep the moral in america intact while others just want to claim an office"
"Personal life, including religion and race",7048,Yes because im a gang member
Not changed,1380,No
Not changed,7861,[No]
"Personal life, including religion and race",7546,I always new and felt that no matter what I did I will be looked at like an outsider and a undesirable.
Experience related to prison or justice system,2042,Seeing everything thats happening
Views on politicians,3917,"It made me to see the vivid picture of how the laws are enforced. mostly, because only littleman get the measure of punishment, and also that the people making the laws are totally disconnected with reality of the impact of these laws. Most elected officials oblivious of what actually is happening, and they only want to please their party base.
"
Views on politics,6869,I'm now antidisestablishmentarianism.
Need for change in system,342,Being in prison let's you see things in a different light. I can see injustice done throughout the justice system in Arkansas. Seems as the courts sentences are not time structured fairly. Examples being downloading and viewing child porn holds as much time as or more time as manslaughter or murder.
Education and more info,3795,Because I feel that I have more empathy for people who are struggling and a greater understanding of what it feels like to have no say in the world around you. Also I have had alot of time to think on my own ideas of solutions to issues like prison reform.
Education and more info,1086,Since being incarcerated I have been able to keep up with the news and look at what I believe is the bigger picture and the possible outcomes of those we choose to represent us.
More interested,6440,"Before I became incarcerated, I had no interest whatsoever in politics. I had been 18 for just over a month before I was arrested, and subsequently sentenced to 50 years in prison. Before that, I was a foster child focused merely on tryjng to suppress the dissimilarities between my peers and me, and getting to a point in my life where I was allowed to make significant decisions about my own life that were not micromanaged be DHHS personnel."
Less interested or less belief in system,2832,"Nobody seems to care, even where a person gives up everything to find a way to deal with the crimes that sent him to prison. "
More interested,3421,Yes ...there is so many smart and intelligent prisoners that would like a chance to vote or even give an opinion to any political questions
Views on politicians,4099,"There is no polititian that doesn't have a self agenda, anything to make him or herself an kind of money for self and the super rich."
Need for change in system,2257,How people decide how laws are applied but reall dont understand how much they put.people thru
Need for change in system,6917,People in the US this is how this cuntry was made and people forget that all the time people in the US need to starte thinking on the good in people not the bad all people have good in them some more then athers.
I don't know or I don't feel talking about it,3143,"Im not for sure what exactly, "
Not changed,5042,Not
Education and more info,7660,"Yes, i think it would change anyone view "
Education and more info,814,I learned more about my original political views in detail and realize I was wrong .
Views on politics,421,Redder
Education and more info,5783,As a young man coming into the system i had no concern about the politics that controlled the do's and don'ts of my life. Since coming to prison i started taking notice of the economical statistics and worldly views ofthe opinions of my fellow people
Education and more info,4191,I tend to be more open-minded and accepting of others point of view
More interested,2685,"Yes because i pay more attention to politics, and i believe every vote should count if you are a citizen of the united states."
Experience related to prison or justice system,7030,"My views before this concrete kasket you call a cell, were misguided, adolescent, sophmoric at best, but being locked in this cell for 23-24 hours a day for about 12 years straight has opened my eyes, heart, and mind to many things, thus the formulation of my political beliefs as the are today."
Need for change in system,5302,I think.politics dnt really help those who are incarcerated the only hurt...no resources or real reform or oppotunities to help people transtion back into society
"Personal life, including religion and race",1477,The world is evil
Views on politics,4189,Yes 00
Need for change in system,3020,I see the politics involved and the multimillion dollars being made off people who chose the wrong path or dealt a bad hand
Education and more info,4197,"I wish to be more in the know, regarding my state, and country."
Education and more info,2914,[Yes] See things in a new light that I never saw from where I was in society.
More interested,1626,Now that I can't vote I would love to but not for my interest
Views on politicians,4289,We are just a number to all politicians and are used for political gain
"Personal life, including religion and race",1846,I pay taxes
Education and more info,6702,"Never really looked into. Being in prison has changed my views on life. Our living conditions are horrible n nasty. Our crime they just wanna send everyone to prison using court appointed lawyers. Gun residue, self-defense, better plea deals, clean the ciurt houses need to come back. U vote n no change for the low proverty people. I have a work n a decision that things need to change"
Education and more info,5146,"My political views have changed since I have been incarcerated because through self-discovery into my own issues that lead me to prison & the recovery process, I have become very interested in the problems our country is faced with & solutions to these issues that involves all of us, especially the issues that involve crime & punishment. Many of these issues can be resolved in the rearing of our children. I had anger issues associated with a traumatic childhood & very dysfunctional parents. Mant times I sought help with authorities who turned a blind eye. My psychological & emotional issues lead me down the path of antisocial behavioral patterns. I was bullied, beaten & tormented for years by abusive parents. I understand why people who are damaged & hurting can be hurtful to others, wanting others to feel rhe pain & suffering they feel inside. This is a serious problem facing this country, not only from the innocent lives destroyed in our schools & neighborhoods but the social & economic issues facing this c"
I don't know or I don't feel talking about it,2373,Idk
Experience related to prison or justice system,2103,Yes because its given.me the ability to see how things opperate from the inside.and.how the tax payers are lied to to gain votes that wouldnt be the same if the people werent being manipulated with propaganda that is being fed to them and therefore causing them to make decisions and allow things that otherwise they wouldnt.
Views on political parties,321,"Yes, due the fact that the political parties and their corrupt ways of running this country."
Education and more info,6935,I didnt have any before
"Personal life, including religion and race",3668,"When I came to prison I was 17 years old. All of my political views revolved around my self interests. Now my politics are influenced by values that I have conciously decided to live my life by. First and foremost, Jesus Christ."
More interested,3095,"Yes,we are a US citizen of our country.We regardles of mistakes and bad choices,our vote and voice should matter."
More interested,7971,Yes bevause i lack acknowledgement because i dont have the right to vote
Not changed,7565,[No]
Education and more info,4462,I know whats real
Need for change in system,1032,Made me realize that the government doesn't care about us it's all about money
Need for change in system,2439,Si que fuese parejo para todos que no hubiera rrasismo.
Need for change in system,5978,I think more leniency for women defending themselves in a domestic violence situation who are only defending themselves after years of being in such a relationship and believing the abuser instead of the victom. I also think when drug offenders are constintly breing arrested and af
Education and more info,256,I came to prison when I was 22 years old in 1991 with life with out parole. I had not formed any type of political opinions at the time of my imprisonment. All of my thoughts and opinions have been formed since coming to prison. Even more so since being sentenced to death in 2014.
Views on political parties,2370,My political views have change because we have this thing in our minds that the democrats are for the people.....well when i am being charged with a crime i never comitted it's..(IT'S WE THE PEOPLE VS. ME IN COURT....IT'S WE THE PEOPLE WHY WE ARE GIVEN LIFE SENTENCES...IT'S WE THE PEOPLE WHO DISREGARD GOD'S LAWS AND ALLOW ABORTION....IT'S WE THE PEOPLE WHO KEEP YOU ON PUBLIC ASSISTANCE AND HOMELESS....THOSE ARE YOUR DEMOCRATIC WE THE PEOPLE ....THE HELL WITH NANCY PELOSI....CORTEZ AND ANY OTHER SO CALLED DEMOCRAT.....THEIR THE PEOPLE AND WERE THE CANCER AS THEY SAY ....REPUBLICANS ARE WHAT WE NEED....JOBS ARE AVAILABLE AT A GOOD HOURLY WAGE ....THE HOMELESS ARE BEING HELPED....BORDER WALLS IS UP SO ILLEGALS CAN'T STARVE US PUTTING US BACK WHERE THE DEMOCRATS WANTS US......PRISON REFORM IS MAKING IT EASIER FOR LONG TERM OFFENDERS TO GET A SECOND CHANCE AT FREEDOM...ABORTION HAS BECOME SOMEWHAT ILLEGAL....WITH THAT SAID......... ......       .....GOD BLESS AMERICA
Less interested or less belief in system,5582,Money rules
Views on political parties,6600,I use to think the demorcratic party was for black the i realized thier party is responsible for mass incarceration for blacks.
